2025-09-28 10:57:25,884 p=2514823 u=root n=ansible | PLAY [APK SIEM Product Installer - Fixed Version] *******************************************************************************************************************************************************************************************
2025-09-28 10:57:26,045 p=2514823 u=root n=ansible | TASK [Gathering Facts] **********************************************************************************************************************************************************************************************************************
2025-09-28 10:57:29,516 p=2514823 u=root n=ansible | ok: [host1]
2025-09-28 10:57:29,676 p=2514823 u=root n=ansible | ok: [bda]
2025-09-28 10:57:29,763 p=2514823 u=root n=ansible | ok: [lb1]
2025-09-28 10:57:29,784 p=2514823 u=root n=ansible | ok: [host3]
2025-09-28 10:57:30,210 p=2514823 u=root n=ansible | ok: [host2]
2025-09-28 10:57:30,232 p=2514823 u=root n=ansible | TASK [Set deployment facts] *****************************************************************************************************************************************************************************************************************
2025-09-28 10:57:30,306 p=2514823 u=root n=ansible | ok: [host1]
2025-09-28 10:57:30,371 p=2514823 u=root n=ansible | ok: [host2]
2025-09-28 10:57:30,431 p=2514823 u=root n=ansible | ok: [host3]
2025-09-28 10:57:30,484 p=2514823 u=root n=ansible | ok: [bda]
2025-09-28 10:57:30,532 p=2514823 u=root n=ansible | ok: [lb1]
2025-09-28 10:57:30,726 p=2514823 u=root n=ansible | TASK [pre_checks : Check ALL hosts are reacheable before start the installation] ************************************************************************************************************************************************************
2025-09-28 10:57:32,935 p=2514823 u=root n=ansible | ok: [host3]
2025-09-28 10:57:33,001 p=2514823 u=root n=ansible | ok: [bda]
2025-09-28 10:57:33,014 p=2514823 u=root n=ansible | ok: [lb1]
2025-09-28 10:57:33,238 p=2514823 u=root n=ansible | ok: [host1]
2025-09-28 10:57:33,378 p=2514823 u=root n=ansible | ok: [host2]
2025-09-28 10:57:33,397 p=2514823 u=root n=ansible | TASK [pre_checks : Check if LB group has hosts] *********************************************************************************************************************************************************************************************
2025-09-28 10:57:33,520 p=2514823 u=root n=ansible | ok: [host1]
2025-09-28 10:57:33,559 p=2514823 u=root n=ansible | ok: [host2]
2025-09-28 10:57:33,605 p=2514823 u=root n=ansible | ok: [host3]
2025-09-28 10:57:33,639 p=2514823 u=root n=ansible | ok: [bda]
2025-09-28 10:57:33,654 p=2514823 u=root n=ansible | ok: [lb1]
2025-09-28 10:57:33,681 p=2514823 u=root n=ansible | TASK [pre_checks : Fail if LB group has hosts but SF group has fewer than 2 hosts] **********************************************************************************************************************************************************
2025-09-28 10:57:33,724 p=2514823 u=root n=ansible | skipping: [host1]
2025-09-28 10:57:33,747 p=2514823 u=root n=ansible | TASK [pre_checks : Fail if required groups are missing] *************************************************************************************************************************************************************************************
2025-09-28 10:57:33,795 p=2514823 u=root n=ansible | skipping: [host1]
2025-09-28 10:57:33,826 p=2514823 u=root n=ansible | TASK [pre_checks : Fail if Lshell_user_password is not defined] *****************************************************************************************************************************************************************************
2025-09-28 10:57:33,870 p=2514823 u=root n=ansible | skipping: [host1]
2025-09-28 10:57:33,887 p=2514823 u=root n=ansible | TASK [pre_checks : Check if playbook is running as root] ************************************************************************************************************************************************************************************
2025-09-28 10:57:34,910 p=2514823 u=root n=ansible | changed: [host1]
2025-09-28 10:57:34,937 p=2514823 u=root n=ansible | changed: [bda]
2025-09-28 10:57:34,987 p=2514823 u=root n=ansible | changed: [lb1]
2025-09-28 10:57:34,995 p=2514823 u=root n=ansible | changed: [host3]
2025-09-28 10:57:35,014 p=2514823 u=root n=ansible | changed: [host2]
2025-09-28 10:57:35,050 p=2514823 u=root n=ansible | TASK [pre_checks : Stop play if not running as root] ****************************************************************************************************************************************************************************************
2025-09-28 10:57:35,089 p=2514823 u=root n=ansible | skipping: [host1]
2025-09-28 10:57:35,122 p=2514823 u=root n=ansible | TASK [pre_checks : Deploy sysctl configuration] *********************************************************************************************************************************************************************************************
2025-09-28 10:57:37,170 p=2514823 u=root n=ansible | ok: [lb1]
2025-09-28 10:57:37,608 p=2514823 u=root n=ansible | changed: [bda]
2025-09-28 10:57:37,702 p=2514823 u=root n=ansible | changed: [host2]
2025-09-28 10:57:37,760 p=2514823 u=root n=ansible | changed: [host3]
2025-09-28 10:57:37,796 p=2514823 u=root n=ansible | ok: [host1]
2025-09-28 10:57:37,814 p=2514823 u=root n=ansible | TASK [pre_checks : increase the size of the bash history] ***********************************************************************************************************************************************************************************
